Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-December-2021,458.95,471.90,458.55,470.50,467.523745490873605421,1553516,15622,726305619.00,779587,50.18,13.35,11.55
21-December-2021,451.90,460.90,450.05,453.55,455.607098765210948802,1395623,30863,635855746.00,458806,32.87,10.85,1.65
20-December-2021,460.00,460.05,440.00,447.15,450.030576529632894450,1891091,32096,851048773.00,628564,33.24,20.05,-12.85
17-December-2021,488.40,488.70,468.40,470.00,473.656468731537829117,2420490,57626,1146480746.00,1334913,55.15,20.30,-18.40
16-December-2021,495.80,496.05,487.55,491.95,492.185932907463362656,971345,10365,478082345.00,556475,57.29,8.50,-3.85
15-December-2021,487.30,497.75,487.30,491.50,491.605524219078932567,1555695,22310,764788256.00,661966,42.55,10.45,4.20
14-December-2021,492.00,492.00,483.35,489.50,488.170347334034756111,924787,11661,451453591.00,371381,40.16,8.65,-2.50
13-December-2021,499.90,506.30,494.25,495.25,501.167473598700243704,800150,12333,401009154.00,154479,19.31,12.05,-4.65
10-December-2021,488.90,497.05,486.15,494.35,494.228716586988928071,803654,9184,397188885.00,310782,38.67,10.90,5.45
9-December-2021,498.00,498.90,489.60,493.80,493.333486218494736382,686790,11127,338816505.00,155362,22.62,9.30,-4.20
8-December-2021,484.95,495.85,483.60,493.75,489.598202436046036137,1772955,31929,868035581.00,791960,44.67,12.25,8.80
7-December-2021,476.40,484.95,471.05,481.90,477.695130728761265274,1706128,30188,815009038.00,585711,34.33,13.90,5.50
6-December-2021,482.40,482.40,465.95,467.30,473.718116478496558128,1014419,14785,480548658.00,288943,28.48,16.45,-15.10
3-December-2021,479.15,484.90,477.40,480.00,481.740944072418864314,1120592,14039,539835048.00,383457,34.22,7.50,0.85
2-December-2021,479.85,480.20,471.75,479.00,476.282104310818838498,1538594,29500,732804788.00,428913,27.88,8.45,-0.85
1-December-2021,468.00,478.50,463.70,475.35,469.783939843069735060,2028162,41929,952797935.00,772775,38.10,14.80,7.35
30-November-2021,465.55,478.00,455.80,458.80,469.125444427448553567,1287893,21020,604183376.00,261403,20.30,22.20,-6.75
29-November-2021,454.20,470.35,442.90,461.25,459.240688492397053843,4104330,84997,1884875335.00,1802416,43.91,27.45,7.05
26-November-2021,485.05,486.95,458.00,460.25,468.918105673018126201,4111286,134332,1927856443.00,1714988,41.71,28.95,-24.80
25-November-2021,491.10,495.00,486.35,492.75,490.461898792459074182,1112012,27386,545399517.00,352486,31.70,8.65,1.65
24-November-2021,499.65,502.00,485.80,488.70,496.033401560006421333,847176,15664,420227593.00,215154,25.40,16.20,-10.95
23-November-2021,485.00,499.20,476.80,495.40,491.678145136950223172,1911753,42354,939967169.00,526768,27.55,22.40,10.40
22-November-2021,511.20,512.15,478.50,486.15,491.116644095788604459,3027500,90270,1486855640.00,987900,32.63,33.65,-25.05
18-November-2021,532.00,534.35,501.35,509.90,512.478741101685446650,3714327,73084,1903513625.00,950753,25.60,33.00,-22.10
17-November-2021,521.70,536.50,520.05,530.30,531.577127308037034148,2141051,30392,1138133740.00,425535,19.88,16.45,8.60
16-November-2021,507.20,526.85,506.70,518.80,519.659576485396012445,2415265,31346,1255115587.00,506682,20.98,20.15,11.60
15-November-2021,507.00,514.75,504.30,505.35,509.332604041340539613,746386,12783,380158725.00,211528,28.34,10.45,-1.65
12-November-2021,507.00,509.80,497.50,507.00,503.599075840818296049,816526,14047,411201739.00,139437,17.08,12.30,0.00
11-November-2021,511.30,519.00,501.05,503.25,509.097965698378956328,1816299,38204,924674126.00,464159,25.56,17.95,-8.05
10-November-2021,507.75,515.90,500.05,510.80,510.994500005094574064,1864729,41190,952866263.00,765013,41.03,15.85,3.05
9-November-2021,503.20,520.50,503.20,509.75,513.466037986763090131,3932791,71930,2019354613.00,1925374,48.96,17.30,6.55
8-November-2021,493.90,504.90,490.45,501.45,499.113079592837581365,1270353,20782,634049798.00,374158,29.45,14.45,7.55
4-November-2021,490.50,493.65,488.35,489.65,490.451255263073008475,527021,23182,258478111.00,296208,56.20,5.30,-0.85
3-November-2021,484.90,495.05,482.00,485.05,488.314746586122778052,1012119,15492,494232633.00,149620,14.78,13.05,0.15
