Date,Open,High,Low,Close
22-Dec-21,23077.66,23263.18,23059.65,23244.27
21-Dec-21,22881.68,23151.73,22837.93,22955.34
20-Dec-21,23090.08,23092.73,22428.02,22704.35
17-Dec-21,23742.29,23749.69,23273.96,23295.52
16-Dec-21,23901.11,23928.31,23637.29,23712.24
15-Dec-21,23892.51,23921.87,23706.1,23732.19
14-Dec-21,23847.59,23920.6,23724.59,23875.89
13-Dec-21,24204.77,24257.45,23906.13,23918.75
10-Dec-21,23995.64,24083.12,23930.74,24061.35
09-Dec-21,24031.03,24043.1,23858.19,24017.43
08-Dec-21,23753.23,23955.7,23742.66,23934.89
07-Dec-21,23368.08,23628.36,23317.7,23556.16
06-Dec-21,23632.45,23633.49,23189.34,23212.63
03-Dec-21,23830.52,23909.57,23579.48,23595.31
02-Dec-21,23541.15,23807.14,23503.66,23786
01-Dec-21,23403.35,23544.65,23345.55,23488.72
30-Nov-21,23294.9,23688.28,23211.43,23276.88
29-Nov-21,23237.11,23433.99,22881.93,23284.2
26-Nov-21,23871.36,23871.52,23318.68,23359.67
25-Nov-21,23940.95,24103.14,23811.46,24072.41
24-Nov-21,24095.24,24152.63,23831.27,23907.84
23-Nov-21,23653.55,24056.32,23554.24,24007.68
22-Nov-21,24365.7,24378.94,23596.46,23804.33
18-Nov-21,24581.02,24639.4,24228.33,24322.72
17-Nov-21,24644.32,24733.96,24535.74,24565.69
16-Nov-21,24825.72,24841.54,24627.94,24673.38
15-Nov-21,24856.94,24902.17,24732.24,24781.53
12-Nov-21,24641.36,24792.14,24532.97,24772.08
11-Nov-21,24665.85,24665.98,24409.95,24504.51
10-Nov-21,24669.17,24741.42,24578.9,24675.95
09-Nov-21,24721.14,24766.45,24624.68,24705.58
08-Nov-21,24567.55,24693.66,24340.89,24671.01
04-Nov-21,24491.19,24491.19,24428.7,24447.15
03-Nov-21,24440.53,24478.71,24185.24,24295.57
02-Nov-21,24434.7,24440.12,24295.28,24347.04
01-Nov-21,24110.76,24345.65,24027.66,24329.04
29-Oct-21,24128.05,24274.17,23791.5,23990.09
28-Oct-21,24610.79,24610.79,24080.73,24157.15
27-Oct-21,24746.03,24781.52,24574.73,24623.63
26-Oct-21,24422.27,24703.2,24421.91,24654.92
25-Oct-21,24682.48,24683.87,24151.71,24394.14
22-Oct-21,24710.2,24814.23,24385.46,24495.84
21-Oct-21,24893.86,24911.97,24453.59,24639.03
20-Oct-21,25088.91,25090.65,24652.37,24765.29
19-Oct-21,25442.21,25454.92,24998.09,25062.34
18-Oct-21,25325.04,25366.27,25248.53,25266.77
14-Oct-21,25037.06,25104,24992.2,25082.49
13-Oct-21,24776.85,24911.52,24728.9,24864.65
12-Oct-21,24554.44,24638.67,24448.62,24622.92
11-Oct-21,24504.72,24647.23,24423.42,24534.94
08-Oct-21,24454.98,24499.08,24363.18,24435.39
07-Oct-21,24259.61,24390.95,24259.58,24321.31
06-Oct-21,24404.25,24411.38,24033.71,24073.67
05-Oct-21,24167.28,24314.27,24099.64,24303.2
04-Oct-21,24016.36,24162.52,23972.36,24140.88
01-Oct-21,23872.06,23904.2,23746.52,23873.27
30-Sep-21,24069.73,24077.46,23900.74,23937.54
29-Sep-21,23879.22,24084.23,23832.73,23997.88
28-Sep-21,24243.45,24244.17,23806.17,24010.47
27-Sep-21,24254.89,24275.87,24083.32,24162.75
24-Sep-21,24292.66,24345.46,24115.56,24160.86
23-Sep-21,24010.66,24206.77,23995.38,24185.34
22-Sep-21,23845.75,23907.91,23783.59,23846.71
21-Sep-21,23594.66,23792.08,23438.76,23770.02
20-Sep-21,23745.66,23932.34,23543.82,23581.89
17-Sep-21,24129.8,24190.1,23829.51,23902.17
16-Sep-21,23973.42,24041.02,23883.23,24024.51
15-Sep-21,23774.1,23913.08,23743.27,23901.29
14-Sep-21,23747.4,23762.45,23678.79,23711.05
13-Sep-21,23612.03,23650.59,23500.79,23627.62
09-Sep-21,23537.55,23615.67,23509.48,23606.9
08-Sep-21,23565.6,23594.09,23421.88,23555.9
07-Sep-21,23629.84,23639.99,23423.44,23530.8
06-Sep-21,23615.15,23631.94,23538.56,23566.75
03-Sep-21,23448.29,23513.1,23373.75,23494.55
02-Sep-21,23212.68,23389.79,23166.29,23378.19
01-Sep-21,23269.05,23314.28,23133.26,23167.46
31-Aug-21,22978.97,23198.73,22913.46,23174.23
30-Aug-21,22693.17,22941.62,22685.59,22921.45
27-Aug-21,22473.23,22613.3,22394.27,22594.76
26-Aug-21,22486.78,22523.74,22410.09,22457.68
25-Aug-21,22467.07,22523.08,22405.53,22440.46
24-Aug-21,22236.38,22407.43,22201.75,22392.14
23-Aug-21,22343,22386.41,22038.53,22176.37
20-Aug-21,22272.85,22364.6,22146.57,22193.77
18-Aug-21,22569.06,22588.94,22407.36,22439.15
17-Aug-21,22413.31,22492.28,22311.3,22473.72
16-Aug-21,22421.84,22434.76,22322.78,22405.76
13-Aug-21,22295.07,22417.76,22283.27,22392.46
12-Aug-21,22145.79,22255.04,22111.4,22248.44
11-Aug-21,22163.42,22193.51,21844.65,22092.9
10-Aug-21,22230.85,22282.48,21987.29,22116.13
09-Aug-21,22280.65,22301.61,22082.55,22185.86
06-Aug-21,22292.41,22341.14,22206.23,22224.36
05-Aug-21,22320.76,22320.76,22122.46,22263.77
04-Aug-21,22289.91,22365.68,22204.12,22243.13
03-Aug-21,22020.13,22207.91,21997.82,22191.37
02-Aug-21,21892.04,21951.09,21867.58,21939.19
30-Jul-21,21779.07,21873.08,21708.84,21753.68
29-Jul-21,21713.84,21761.72,21666.25,21722.99
28-Jul-21,21721.72,21721.72,21346.66,21614.98
27-Jul-21,21838.18,21867.79,21596.82,21662.07
26-Jul-21,21810.09,21859.06,21727.54,21766.29
